,z20,online,dep4,dep4+hist,z40,dep3
0,7.75,0.670105408,0.754198363,0.670128268,3.88,0.625982368
1,23.25,0.840943898,0.914632017,0.841063064,11.63,0.732035012
2,38.75,0.922991787,0.972813131,0.923141005,19.38,0.817275565
3,54.25,0.953830195,0.980044489,0.953985062,27.13,0.877927497
4,69.75,0.972735107,0.986178806,0.972851677,34.88,0.920979153
5,85.25,0.986232781,0.99143625,0.986299244,42.63,0.937881379
6,100.75,1.0,1.0,1.0,50.38,0.955932642
7,116.25,0.989063004,0.982895276,0.989006726,58.13,0.961442532
8,131.75,0.986743283,0.976677447,0.986617771,65.88,0.969917175
9,147.25,0.995834303,0.984277016,0.995626376,73.63,0.977160426
10,162.75,0.976006404,0.960088978,0.97573884,81.38,0.982662473
11,178.25,0.96572285,0.947361029,0.965394872,89.13,0.989341009
12,193.75,0.957440465,0.937297864,0.957055991,96.88,0.992239094
13,209.25,0.954111992,0.933843514,0.953666535,104.63,1.0
14,224.75,0.927896691,0.904671343,0.927416621,112.38,0.990290044
15,240.25,0.910580461,0.887065549,0.910069137,120.13,0.980603617
16,255.75,0.899235064,0.878938338,0.898691996,127.88,0.978187893
17,271.25,0.860910654,0.842064107,0.860362549,135.63,0.984768389
18,286.75,0.8055804,0.79585554,0.805036814,143.38,0.991670458
19,302.25,0.649207497,0.657765074,0.648709352,151.13,0.981223235
20,,,,,158.88,0.973576056
21,,,,,166.63,0.96138763
22,,,,,174.38,0.956175783
23,,,,,182.13,0.951430611
24,,,,,189.88,0.946316805
25,,,,,197.63,0.944920705
26,,,,,205.38,0.939167673
27,,,,,213.13,0.939932391
28,,,,,220.88,0.922802711
29,,,,,228.63,0.906304413
30,,,,,236.38,0.897472902
31,,,,,244.13,0.896465043
32,,,,,251.88,0.894829723
33,,,,,259.63,0.873488212
34,,,,,267.38,0.860409575
35,,,,,275.13,0.838130794
36,,,,,282.88,0.815020628
37,,,,,290.63,0.779263204
38,,,,,298.38,0.707360115
39,,,,,306.13,0.598958415
